"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","Oops...we found an error preparing this test file: cypress/e2e/home.cy.js","","Sun Jun 08 13:11:41 GMT-03:00 2025","broken","Sun Jun 08 13:11:41 GMT-03:00 2025","","cypress/e2e/home.cy.js","",""
"","489","deve remover uma tarefa","tarefas","Sun Jun 08 14:28:20 GMT-03:00 2025","passed","Sun Jun 08 14:28:20 GMT-03:00 2025","","exclusão","",""
"","0","Oops...we found an error preparing this test file: cypress/e2e/home.cy.js","","Sun Jun 08 13:25:56 GMT-03:00 2025","broken","Sun Jun 08 13:25:56 GMT-03:00 2025","","cypress/e2e/home.cy.js","",""
"","0","Oops...we found an error preparing this test file: cypress/e2e/tasks.cy.js","","Sun Jun 08 13:19:54 GMT-03:00 2025","broken","Sun Jun 08 13:19:54 GMT-03:00 2025","","cypress/e2e/tasks.cy.js","",""
"","0","Oops...we found an error preparing this test file: cypress/e2e/home.cy.js","","Sun Jun 08 13:19:47 GMT-03:00 2025","broken","Sun Jun 08 13:19:47 GMT-03:00 2025","","cypress/e2e/home.cy.js","",""
"","0","Oops...we found an error preparing this test file: cypress/e2e/tasks.cy.js","","Sun Jun 08 13:26:05 GMT-03:00 2025","broken","Sun Jun 08 13:26:05 GMT-03:00 2025","","cypress/e2e/tasks.cy.js","",""
"","944","Não deve permitir tarefa duplicada","tarefas","Sun Jun 08 14:28:17 GMT-03:00 2025","passed","Sun Jun 08 14:28:18 GMT-03:00 2025","","cadastro","",""
"","1141","webapp deve estar online","","Sun Jun 08 14:28:08 GMT-03:00 2025","passed","Sun Jun 08 14:28:09 GMT-03:00 2025","","home","",""
"","362","Campo obrigatório","tarefas","Sun Jun 08 14:28:18 GMT-03:00 2025","passed","Sun Jun 08 14:28:18 GMT-03:00 2025","","cadastro","",""
"","1923","Deve cadastrar uma nova tarefa","tarefas","Sun Jun 08 14:28:15 GMT-03:00 2025","passed","Sun Jun 08 14:28:17 GMT-03:00 2025","","cadastro","",""
"","707","deve concluir uma tarefa","tarefas","Sun Jun 08 14:28:19 GMT-03:00 2025","passed","Sun Jun 08 14:28:19 GMT-03:00 2025","","atualização","",""
"","0","Oops...we found an error preparing this test file: cypress/e2e/tasks.cy.js","","Sun Jun 08 13:11:50 GMT-03:00 2025","broken","Sun Jun 08 13:11:50 GMT-03:00 2025","","cypress/e2e/tasks.cy.js","",""
